shape,blocksize,bnb_time_ms,musa_time_ms,speedup,mae,mse,max_diff
2048x2048,128,0.09250000,0.04350000,2.12643678,0.00029397,0.00000030,0.00390625
512x512,64,0.10100000,0.00800000,12.62500000,0.00018466,0.00000018,0.00390625
256x256,64,0.11440000,0.00740000,15.45945946,0.00022900,0.00000024,0.00390625
3421x3146,64,0.09250000,0.11680000,0.79195205,0.00017142,0.00000012,0.00390625
7000x7000,64,0.09090000,0.55810000,0.16287404,0.00024140,0.00000024,0.00390625
7000x7000,128,0.09390000,0.53600000,0.17518657,0.00025988,0.00000024,0.00390625
2048x2048,64,0.09100000,0.04560000,1.99561404,0.00022352,0.00000018,0.00390625
6578x1236,128,0.08760000,0.08320000,1.05288462,0.00026894,0.00000024,0.00390625
1024x1024,128,0.09120000,0.01370000,6.65693431,0.00024605,0.00000024,0.00390625
256x256,128,0.10640000,0.00770000,13.81818182,0.00024271,0.00000024,0.00390625
8192x8192,64,0.09180000,0.77260000,0.11881957,0.00017440,0.00000012,0.00390625
4096x4096,64,0.08910000,0.18320000,0.48635371,0.00018179,0.00000018,0.00390625
8192x8192,128,0.09120000,0.74250000,0.12282828,0.00022542,0.00000018,0.00390625
1024x1024,64,0.09600000,0.01450000,6.62068966,0.00028801,0.00000030,0.00390625
6578x1236,64,0.08950000,0.08670000,1.03229527,0.00022066,0.00000018,0.00390625
16384x16384,64,0.30740000,3.30830000,0.09291781,0.00019693,0.00000018,0.00390625
512x512,128,0.09770000,0.00780000,12.52564103,0.00029063,0.00000030,0.00390625
4096x4096,128,0.09050000,0.17560000,0.51537585,0.00020349,0.00000018,0.00390625
3421x3146,128,0.09040000,0.11030000,0.81958296,0.00026965,0.00000024,0.00390625
16384x16384,128,0.29730000,3.18830000,0.09324719,0.00022352,0.00000018,0.00390625
