shape,blocksize,bnb_time_ms,mx_time_ms,speedup,mae,mse,max_diff
1024x1024,128,0.09120000,0.02480000,3.67741935,0.00024605,0.00000024,0.00390625
1024x1024,64,0.09600000,0.01690000,5.68047337,0.00028801,0.00000030,0.00390625
16384x16384,128,0.29730000,0.92820000,0.32029735,0.00022352,0.00000018,0.00390625
16384x16384,64,0.30740000,1.01060000,0.30417574,0.00019693,0.00000018,0.00390625
2048x2048,128,0.09250000,0.03250000,2.84615385,0.00029397,0.00000030,0.00390625
2048x2048,64,0.09100000,0.02810000,3.23843416,0.00022352,0.00000018,0.00390625
256x256,128,0.10640000,0.00930000,11.44086022,0.00024271,0.00000024,0.00390625
256x256,64,0.11440000,0.00940000,12.17021277,0.00022900,0.00000024,0.00390625
3421x3146,128,0.09040000,0.05090000,1.77603143,0.00026965,0.00000024,0.00390625
3421x3146,64,0.09250000,0.05170000,1.78916828,0.00017142,0.00000012,0.00390625
4096x4096,128,0.09050000,0.08130000,1.11316113,0.00020349,0.00000018,0.00390625
4096x4096,64,0.08910000,0.07350000,1.21224490,0.00018179,0.00000018,0.00390625
512x512,128,0.09770000,0.01540000,6.34415584,0.00029063,0.00000030,0.00390625
512x512,64,0.10100000,0.01540000,6.55844156,0.00018466,0.00000018,0.00390625
6578x1236,128,0.08760000,0.04020000,2.17910448,0.00026894,0.00000024,0.00390625
6578x1236,64,0.08950000,0.04850000,1.84536082,0.00022066,0.00000018,0.00390625
7000x7000,128,0.09390000,0.18810000,0.49920255,0.00025988,0.00000024,0.00390625
7000x7000,64,0.09090000,0.19050000,0.47716535,0.00024140,0.00000024,0.00390625
8192x8192,128,0.09120000,0.23580000,0.38676845,0.00022542,0.00000018,0.00390625
8192x8192,64,0.09180000,0.26250000,0.34971429,0.00017440,0.00000012,0.00390625
