shape,blocksize,bnb_time_ms,cuda_time_ms,speedup,mae,mse,max_diff
4096x4096,128,0.09050000,0.01340000,6.75373134,0.00020349,0.00000018,0.00390625
4096x4096,64,0.08910000,0.01370000,6.50364964,0.00018179,0.00000018,0.00390625
3421x3146,64,0.09250000,0.00860000,10.75581395,0.00017142,0.00000012,0.00390625
7000x7000,128,0.09390000,0.04120000,2.27912621,0.00025988,0.00000024,0.00390625
2048x2048,64,0.09100000,0.00470000,19.36170213,0.00022352,0.00000018,0.00390625
8192x8192,128,0.09120000,0.05520000,1.65217391,0.00022542,0.00000018,0.00390625
6578x1236,64,0.08950000,0.00700000,12.78571429,0.00022066,0.00000018,0.00390625
2048x2048,128,0.09250000,0.00480000,19.27083333,0.00029397,0.00000030,0.00390625
7000x7000,64,0.09090000,0.04160000,2.18509615,0.00024140,0.00000024,0.00390625
256x256,128,0.10640000,0.00280000,38.00000000,0.00024271,0.00000024,0.00390625
256x256,64,0.11440000,0.00280000,40.85714286,0.00022900,0.00000024,0.00390625
6578x1236,128,0.08760000,0.00700000,12.51428571,0.00026894,0.00000024,0.00390625
512x512,64,0.10100000,0.00280000,36.07142857,0.00018466,0.00000018,0.00390625
16384x16384,128,0.29730000,0.21040000,1.41302281,0.00022352,0.00000018,0.00390625
16384x16384,64,0.30740000,0.21100000,1.45687204,0.00019693,0.00000018,0.00390625
8192x8192,64,0.09180000,0.05560000,1.65107914,0.00017440,0.00000012,0.00390625
1024x1024,64,0.09600000,0.00300000,32.00000000,0.00028801,0.00000030,0.00390625
3421x3146,128,0.09040000,0.00850000,10.63529412,0.00026965,0.00000024,0.00390625
1024x1024,128,0.09120000,0.00300000,30.40000000,0.00024605,0.00000024,0.00390625
512x512,128,0.09770000,0.00260000,37.57692308,0.00029063,0.00000030,0.00390625
