shape,blocksize,bnb_time_ms,cuda_time_ms,speedup,mae,mse,max_diff,bnb_error
4096x4096,64,0.2211,0.2423,0.9125051588939331,0.00020956993103027344,1.7881393432617188e-07,0.00390625,0.0728759765625
8192x8192,128,0.7511,0.9612,0.7814190595089471,0.0002741813659667969,2.384185791015625e-07,0.00390625,0.07684326171875
1024x1024,64,0.1466,0.018,8.144444444444446,0.00030303001403808594,2.980232238769531e-07,0.00390625,0.07275390625
256x256,128,0.0835,0.0081,10.308641975308642,0.00018525123596191406,1.7881393432617188e-07,0.00390625,0.07647705078125
2048x2048,128,0.101,0.058,1.7413793103448276,0.0002484321594238281,2.384185791015625e-07,0.00390625,0.076904296875
2048x2048,64,0.0893,0.0599,1.4908180300500835,0.0002760887145996094,2.384185791015625e-07,0.00390625,0.0728759765625
1024x1024,128,0.0793,0.0186,4.263440860215054,0.00024771690368652344,2.384185791015625e-07,0.00390625,0.07696533203125
4096x4096,128,0.1883,0.2406,0.78262676641729,0.00026535987854003906,2.384185791015625e-07,0.00390625,0.07684326171875
256x256,64,0.0878,0.0094,9.340425531914894,0.00021636486053466797,1.7881393432617188e-07,0.001953125,0.07275390625
512x512,128,0.0778,0.0095,8.189473684210526,0.0002073049545288086,1.7881393432617188e-07,0.00390625,0.0767822265625
512x512,64,0.0864,0.0092,9.391304347826088,0.0002815723419189453,2.980232238769531e-07,0.00390625,0.07275390625
8192x8192,64,0.7454,0.9363,0.7961123571504859,0.000194549560546875,1.7881393432617188e-07,0.00390625,0.0728759765625
