shape,blocksize,bnb_time_ms,musa_time_ms,speedup,mae,mse,max_diff,bnb_error
2048x2048,128,0.08220000,0.04480000,1.83482143,0.00017214,0.00000012,0.00390625,0.07684326
512x512,64,0.11730000,0.00760000,15.43421053,0.00018144,0.00000012,0.00195312,0.07269287
256x256,64,0.11670000,0.00740000,15.77027027,0.00026369,0.00000024,0.00390625,0.07269287
2048x2048,64,0.15300000,0.04680000,3.26923077,0.00023639,0.00000024,0.00390625,0.07287598
1024x1024,128,0.09450000,0.01390000,6.79856115,0.00018811,0.00000018,0.00390625,0.07684326
256x256,128,0.10570000,0.00750000,14.09333333,0.00023019,0.00000018,0.00195312,0.07684326
8192x8192,64,0.75040000,0.79750000,0.94094044,0.00020945,0.00000018,0.00390625,0.07287598
4096x4096,64,0.19370000,0.18900000,1.02486772,0.00027728,0.00000024,0.00390625,0.07287598
8192x8192,128,0.73730000,0.76740000,0.96077665,0.00018108,0.00000018,0.00390625,0.07690430
1024x1024,64,0.08920000,0.01490000,5.98657718,0.00017262,0.00000012,0.00390625,0.07299805
512x512,128,0.08700000,0.00740000,11.75675676,0.00017631,0.00000012,0.00195312,0.07684326
4096x4096,128,0.20480000,0.18150000,1.12837466,0.00020897,0.00000018,0.00390625,0.07690430
