shape,blocksize,bnb_time_ms,mx_time_ms,speedup,mae,mse,max_diff
1024x1024,128,0.08340000,0.05720000,1.45804196,0.00026655,0.00000024,0.00390625
1024x1024,64,0.08410000,0.02430000,3.46090535,0.00028038,0.00000024,0.00390625
2048x2048,128,0.12380000,0.07800000,1.58717949,0.00020635,0.00000018,0.00390625
2048x2048,64,0.09710000,0.08270000,1.17412334,0.00024307,0.00000024,0.00390625
256x256,128,0.09640000,0.00720000,13.38888889,0.00028586,0.00000030,0.00195312
256x256,64,0.10060000,0.00730000,13.78082192,0.00026488,0.00000024,0.00195312
4096x4096,128,0.20260000,0.29260000,0.69241285,0.00023425,0.00000024,0.00390625
4096x4096,64,0.20580000,0.29470000,0.69833729,0.00021684,0.00000018,0.00390625
512x512,128,0.08070000,0.01080000,7.47222222,0.00021410,0.00000018,0.00390625
512x512,64,0.09260000,0.01120000,8.26785714,0.00020552,0.00000018,0.00390625
7000x7000,128,0.59890000,0.83070000,0.72095823,0.00018525,0.00000018,0.00390625
7000x7000,64,0.64880000,0.84970000,0.76356361,0.00024104,0.00000024,0.00390625
