shape,blocksize,bnb_time_ms,cuda_time_ms,speedup,mae,mse,max_diff,bnb_error
4096x4096,64,0.19370000,0.28360000,0.68300423,0.00027919,0.00000030,0.00390625,0.07287598
8192x8192,128,0.73730000,0.86440000,0.85296159,0.00018382,0.00000018,0.00390625,0.07690430
1024x1024,64,0.08920000,0.01710000,5.21637427,0.00017655,0.00000012,0.00390625,0.07299805
256x256,128,0.10570000,0.00670000,15.77611940,0.00023246,0.00000024,0.00390625,0.07684326
2048x2048,128,0.08220000,0.06010000,1.36772047,0.00017548,0.00000012,0.00390625,0.07684326
2048x2048,64,0.15300000,0.05690000,2.68892794,0.00023830,0.00000024,0.00390625,0.07287598
1024x1024,128,0.09450000,0.01640000,5.76219512,0.00019038,0.00000018,0.00390625,0.07684326
4096x4096,128,0.20480000,0.21970000,0.93218025,0.00021064,0.00000018,0.00390625,0.07690430
256x256,64,0.11670000,0.00680000,17.16176471,0.00026751,0.00000024,0.00390625,0.07269287
512x512,128,0.08700000,0.01190000,7.31092437,0.00018013,0.00000018,0.00390625,0.07684326
512x512,64,0.11730000,0.01020000,11.50000000,0.00018501,0.00000018,0.00195312,0.07269287
8192x8192,64,0.75040000,0.78610000,0.95458593,0.00021172,0.00000018,0.00390625,0.07287598
